YEAR,COUNTY_DISTRICT_CODE,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,ENROLLMENT_GRADES_K_12,DISCIPLINE_INCIDENTS,DISCIPLINE_INCIDENT_RATE,DISCIPLINE_ALCOHOL,DISCIPLINE_ALCOHOL_RATE,DISCIPLINE_DRUG,DISCIPLINE_DRUG_RATE,DISCIPLINE_OTHER,DISCIPLINE_OTHER_RATE,DISCIPLINE_TOBACCO,DISCIPLINE_TOBACCO_RATE,DISCIPLINE_VIOLENCE,DISCIPLINE_VIOLENCE_RATE,DISCIPLINE_WEAPON,DISCIPLINE_WEAPON_RATE,DISCIPLINE_REMOVAL_IN_SCHL_SUSP,DISCIPLINE_REMOVAL_IN_SCHL_SUSP_RATE,DISCIPLINE_REMOVAL_OUT_SCHL_SUSP,DISCIPLINE_REMOVAL_OUT_SCHL_SUSP_RATE,DISCIPLINE_REMOVAL_EXPULSION,DISCIPLINE_EXPULSION_RATE,DISCIPLINE_MORE_10_DAYS,DISCIPLINE_MORE_10_DAYS_RATE
2001,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,156,4,2.6,1,0.6,2,1.3,0,0,0,0,0,0,1,0.6,0,0,3,1.9,1,0.6,1,0.6
2002,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,166,1,0.6,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,1,0.6,0,0,1,0.6
2003,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,166,1,0.6,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,1,0.6,1,0.6
2004,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,155,2,1.3,0,0,1,0.6,0,0,0,0,1,0.6,0,0,0,0,2,1.3,0,0,2,1.3
2006,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,135,1,0.7,0,0,0,0,1,0.7,0,0,0,0,0,0,0,0,1,0.7,0,0,1,0.7
2007,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,138,3,2.2,0,0,1,0.7,1,0.7,0,0,1,0.7,0,0,0,0,3,2.2,0,0,3,2.2
2008,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,136,1,0.7,0,0,0,0,1,0.7,0,0,0,0,0,0,0,0,1,0.7,0,0,1,0.7
2009,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,122,2,1.6,0,0,0,0,1,0.8,0,0,0,0,0,0,0,0,2,1.6,0,0,1,0.8
2014,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,001090,ADAIR CO. R-I,1050,ADAIR CO. HIGH,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,167,1,0.6,0,0,0,0,1,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0.6
2002,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,001090,ADAIR CO. R-I,4020,ADAIR CO. ELEM.,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
